CAFA_Id,Uniprot_Id
T96060000108,3BP2_HUMAN
T96060000109,3BP5L_HUMAN
T96060000110,3BP5_HUMAN
T96060000111,3HAO_HUMAN
T96060000112,3HIDH_HUMAN
T96060000113,3MG_HUMAN
T96060000114,41_HUMAN
T96060000115,4EBP1_HUMAN
T96060000116,4EBP2_HUMAN
T96060000117,4EBP3_HUMAN
T96060000118,4ET_HUMAN
T96060000119,4F2_HUMAN
T96060000120,5HT1A_HUMAN
T96060000121,5HT1B_HUMAN
T96060000122,5HT1D_HUMAN
T96060000123,5HT1E_HUMAN
T96060000124,5HT1F_HUMAN
T96060000125,5HT2A_HUMAN
T96060000126,5HT2B_HUMAN
T96060000127,5HT2C_HUMAN
T96060000128,5HT3A_HUMAN
T96060000129,5HT3B_HUMAN
T96060000130,5HT3C_HUMAN
T96060000131,5HT3D_HUMAN
T96060000132,5HT3E_HUMAN
T96060000133,5HT4R_HUMAN
T96060000134,5HT5A_HUMAN
T96060000135,5HT6R_HUMAN
T96060000136,5HT7R_HUMAN
T96060000137,5NT1A_HUMAN
T96060000138,5NT1B_HUMAN
T96060000139,5NT3A_HUMAN
T96060000140,5NT3B_HUMAN
T96060000141,5NTC_HUMAN
T96060000142,5NTD_HUMAN
T96060000143,6PGD_HUMAN
T96060000144,6PGL_HUMAN
T96060000145,7B2_HUMAN
T96060000146,8ODP_HUMAN
T96060000147,A14EL_HUMAN
T96060000148,A16A1_HUMAN
T96060000149,A16L1_HUMAN
T96060000150,A16L2_HUMAN
T96060000151,A1AG1_HUMAN
T96060000152,A1AG2_HUMAN
T96060000153,A1ATR_HUMAN
T96060000154,A1AT_HUMAN
T96060000155,A1BG_HUMAN
T96060000156,A1CF_HUMAN
T96060000157,A2012_HUMAN
T96060000158,A20A1_HUMAN
T96060000159,A20A2_HUMAN
T96060000160,A20A3_HUMAN
T96060000161,A20A4_HUMAN
T96060000162,A20A5_HUMAN
T96060000163,A26L1_HUMAN
T96060000164,A2AP_HUMAN
T96060000165,A2GL_HUMAN
T96060000166,A2MG_HUMAN
T96060000167,A2ML1_HUMAN
T96060000168,A30BL_HUMAN
T96060000169,A3LT2_HUMAN
T96060000170,A4AS1_HUMAN
T96060000171,A4GAT_HUMAN
T96060000172,A4GCT_HUMAN
T96060000173,A4_HUMAN
T96060000174,A7L3B_HUMAN
T96060000175,AA1R_HUMAN
T96060000176,AA2AR_HUMAN
T96060000177,AA2BR_HUMAN
T96060000178,AA3R_HUMAN
T96060000179,AAA1_HUMAN
T96060000180,AAAD_HUMAN
T96060000181,AAAS_HUMAN
T96060000182,AAAT_HUMAN
T96060000183,AACS_HUMAN
T96060000184,AACT_HUMAN
T96060000185,AADAT_HUMAN
T96060000186,AAGAB_HUMAN
T96060000187,AAK1_HUMAN
T96060000188,AAKB1_HUMAN
T96060000189,AAKB2_HUMAN
T96060000190,AAKG1_HUMAN
T96060000191,AAKG2_HUMAN
T96060000192,AAKG3_HUMAN
T96060000193,AAMDC_HUMAN
T96060000194,AAMP_HUMAN
T96060000195,AAPK1_HUMAN
T96060000196,AAPK2_HUMAN
T96060000197,AAR2_HUMAN
T96060000198,AARD_HUMAN
T96060000199,AAS1_HUMAN
T96060000200,AASD1_HUMAN
T96060000201,AASS_HUMAN
T96060000202,AATC2_HUMAN
T96060000203,AATC_HUMAN
T96060000204,AATF_HUMAN
T96060000205,AATM_HUMAN
T96060000206,AB12B_HUMAN
T96060000207,AB17A_HUMAN
T96060000208,AB17B_HUMAN
T96060000209,AB17C_HUMAN
T96060000210,AB1IP_HUMAN
T96060000211,ABC3A_HUMAN
T96060000212,ABC3B_HUMAN
T96060000213,ABC3C_HUMAN
T96060000214,ABC3D_HUMAN
T96060000215,ABC3F_HUMAN
T96060000216,ABC3G_HUMAN
T96060000217,ABC3H_HUMAN
T96060000218,ABCA1_HUMAN
T96060000219,ABCA2_HUMAN
T96060000220,ABCA3_HUMAN
T96060000221,ABCA4_HUMAN
T96060000222,ABCA5_HUMAN
T96060000223,ABCA6_HUMAN
T96060000224,ABCA7_HUMAN
T96060000225,ABCA8_HUMAN
T96060000226,ABCA9_HUMAN
T96060000227,ABCAA_HUMAN
T96060000228,ABCAB_HUMAN
T96060000229,ABCAC_HUMAN
T96060000230,ABCAD_HUMAN
T96060000231,ABCB5_HUMAN
T96060000232,ABCB6_HUMAN
T96060000233,ABCB7_HUMAN
T96060000234,ABCB8_HUMAN
T96060000235,ABCB9_HUMAN
T96060000236,ABCBA_HUMAN
T96060000237,ABCBB_HUMAN
T96060000238,ABCC8_HUMAN
T96060000239,ABCC9_HUMAN
T96060000240,ABCCB_HUMAN
T96060000241,ABCD1_HUMAN
T96060000242,ABCD2_HUMAN
T96060000243,ABCD3_HUMAN
T96060000244,ABCD4_HUMAN
T96060000245,ABCE1_HUMAN
T96060000246,ABCF1_HUMAN
T96060000247,ABCF2_HUMAN
T96060000248,ABCF3_HUMAN
T96060000249,ABCG1_HUMAN
T96060000250,ABCG2_HUMAN
T96060000251,ABCG4_HUMAN
T96060000252,ABCG5_HUMAN
T96060000253,ABCG8_HUMAN
T96060000254,ABD12_HUMAN
T96060000255,ABD18_HUMAN
T96060000256,ABEC1_HUMAN
T96060000257,ABEC2_HUMAN
T96060000258,ABEC4_HUMAN
T96060000259,ABH15_HUMAN
T96060000260,ABHD1_HUMAN
T96060000261,ABHD2_HUMAN
T96060000262,ABHD3_HUMAN
T96060000263,ABHD4_HUMAN
T96060000264,ABHD5_HUMAN
T96060000265,ABHD6_HUMAN
T96060000266,ABHD8_HUMAN
T96060000267,ABHDA_HUMAN
T96060000268,ABHDB_HUMAN
T96060000269,ABHDD_HUMAN
T96060000270,ABHEA_HUMAN
T96060000271,ABHEB_HUMAN
T96060000272,ABHGA_HUMAN
T96060000273,ABHGB_HUMAN
T96060000274,ABI1_HUMAN
T96060000275,ABI2_HUMAN
T96060000276,ABI3_HUMAN
T96060000277,ABITM_HUMAN
T96060000278,ABL1_HUMAN
T96060000279,ABL2_HUMAN
T96060000280,ABLM1_HUMAN
T96060000281,ABLM2_HUMAN
T96060000282,ABLM3_HUMAN
T96060000283,ABRAL_HUMAN
T96060000284,ABRA_HUMAN
T96060000285,ABRX1_HUMAN
T96060000286,ABRX2_HUMAN
T96060000287,ABR_HUMAN
T96060000288,ABT1_HUMAN
T96060000289,ABTB1_HUMAN
T96060000290,ABTB2_HUMAN
T96060000291,ACACA_HUMAN
T96060000292,ACACB_HUMAN
T96060000293,ACAD8_HUMAN
T96060000294,ACAD9_HUMAN
T96060000295,ACADL_HUMAN
T96060000296,ACADM_HUMAN
T96060000297,ACADS_HUMAN
T96060000298,ACADV_HUMAN
T96060000299,ACAP1_HUMAN
T96060000300,ACAP2_HUMAN
T96060000301,ACAP3_HUMAN
T96060000302,ACATN_HUMAN
T96060000303,ACBD4_HUMAN
T96060000304,ACBD5_HUMAN
T96060000305,ACBD6_HUMAN
T96060000306,ACBD7_HUMAN
T96060000307,ACBG1_HUMAN
T96060000308,ACBG2_HUMAN
T96060000309,ACBP_HUMAN
T96060000310,ACD10_HUMAN
T96060000311,ACD11_HUMAN
T96060000312,ACDSB_HUMAN
T96060000313,ACD_HUMAN
T96060000314,ACE2_HUMAN
T96060000315,ACER1_HUMAN
T96060000316,ACER2_HUMAN
T96060000317,ACER3_HUMAN
T96060000318,ACES_HUMAN
T96060000319,ACE_HUMAN
T96060000320,ACH10_HUMAN
T96060000321,ACHA2_HUMAN
T96060000322,ACHA3_HUMAN
T96060000323,ACHA4_HUMAN
T96060000324,ACHA5_HUMAN
T96060000325,ACHA6_HUMAN
T96060000326,ACHA7_HUMAN
T96060000327,ACHA9_HUMAN
T96060000328,ACHA_HUMAN
T96060000329,ACHB2_HUMAN
T96060000330,ACHB3_HUMAN
T96060000331,ACHB4_HUMAN
T96060000332,ACHB_HUMAN
T96060000333,ACHD_HUMAN
T96060000334,ACHE_HUMAN
T96060000335,ACHG_HUMAN
T96060000336,ACINU_HUMAN
T96060000337,ACK1_HUMAN
T96060000338,ACKMT_HUMAN
T96060000339,ACKR1_HUMAN
T96060000340,ACKR2_HUMAN
T96060000341,ACKR3_HUMAN
T96060000342,ACKR4_HUMAN
T96060000343,ACL10_HUMAN
T96060000344,ACL6A_HUMAN
T96060000345,ACL6B_HUMAN
T96060000346,ACL7A_HUMAN
T96060000347,ACL7B_HUMAN
T96060000348,ACLY_HUMAN
T96060000349,ACM1_HUMAN
T96060000350,ACM2_HUMAN
T96060000351,ACM3_HUMAN
T96060000352,ACM4_HUMAN
T96060000353,ACM5_HUMAN
T96060000354,ACMSD_HUMAN
T96060000355,ACO11_HUMAN
T96060000356,ACO12_HUMAN
T96060000357,ACO13_HUMAN
T96060000358,ACOC_HUMAN
T96060000359,ACOD_HUMAN
T96060000360,ACON_HUMAN
T96060000361,ACOT1_HUMAN
T96060000362,ACOT2_HUMAN
T96060000363,ACOT4_HUMAN
T96060000364,ACOT6_HUMAN
T96060000365,ACOT8_HUMAN
T96060000366,ACOT9_HUMAN
T96060000367,ACOX1_HUMAN
T96060000368,ACOX2_HUMAN
T96060000369,ACOX3_HUMAN
T96060000370,ACOXL_HUMAN
T96060000371,ACP7_HUMAN
T96060000372,ACPH_HUMAN
T96060000373,ACPM_HUMAN
T96060000374,ACRBP_HUMAN
T96060000375,ACRC_HUMAN
T96060000376,ACRO_HUMAN
T96060000377,ACS2A_HUMAN
T96060000378,ACS2B_HUMAN
T96060000379,ACS2L_HUMAN
T96060000380,ACSA_HUMAN
T96060000381,ACSF2_HUMAN
T96060000382,ACSF3_HUMAN
T96060000383,ACSF4_HUMAN
T96060000384,ACSL1_HUMAN
T96060000385,ACSL3_HUMAN
T96060000386,ACSL4_HUMAN
T96060000387,ACSL5_HUMAN
T96060000388,ACSL6_HUMAN
T96060000389,ACSM1_HUMAN
T96060000390,ACSM3_HUMAN
T96060000391,ACSM4_HUMAN
T96060000392,ACSM5_HUMAN
T96060000393,ACSM6_HUMAN
T96060000394,ACSS3_HUMAN
T96060000395,ACTA_HUMAN
T96060000396,ACTBL_HUMAN
T96060000397,ACTBM_HUMAN
T96060000398,ACTB_HUMAN
T96060000399,ACTC_HUMAN
T96060000400,ACTG_HUMAN
T96060000401,ACTHR_HUMAN
T96060000402,ACTH_HUMAN
T96060000403,ACTL8_HUMAN
T96060000404,ACTL9_HUMAN
T96060000405,ACTN1_HUMAN
T96060000406,ACTN2_HUMAN
T96060000407,ACTN3_HUMAN
T96060000408,ACTN4_HUMAN
T96060000409,ACTS_HUMAN
T96060000410,ACTT1_HUMAN
T96060000411,ACTT2_HUMAN
T96060000412,ACTT3_HUMAN
T96060000413,ACTY_HUMAN
T96060000414,ACTZ_HUMAN
T96060000415,ACV1B_HUMAN
T96060000416,ACV1C_HUMAN
T96060000417,ACVL1_HUMAN
T96060000418,ACVR1_HUMAN
T96060000419,ACY1_HUMAN
T96060000420,ACY2_HUMAN
T96060000421,ACY3_HUMAN
T96060000422,ACYP1_HUMAN
T96060000423,ACYP2_HUMAN
T96060000424,ADA10_HUMAN
T96060000425,ADA11_HUMAN
T96060000426,ADA12_HUMAN
T96060000427,ADA15_HUMAN
T96060000428,ADA17_HUMAN
T96060000429,ADA18_HUMAN
T96060000430,ADA19_HUMAN
T96060000431,ADA1A_HUMAN
T96060000432,ADA1B_HUMAN
T96060000433,ADA1D_HUMAN
T96060000434,ADA20_HUMAN
T96060000435,ADA21_HUMAN
T96060000436,ADA22_HUMAN
T96060000437,ADA23_HUMAN
T96060000438,ADA28_HUMAN
T96060000439,ADA29_HUMAN
T96060000440,ADA2A_HUMAN
T96060000441,ADA2B_HUMAN
T96060000442,ADA2C_HUMAN
T96060000443,ADA2_HUMAN
T96060000444,ADA30_HUMAN
T96060000445,ADA32_HUMAN
T96060000446,ADA33_HUMAN
T96060000447,ADAD1_HUMAN
T96060000448,ADAD2_HUMAN
T96060000449,ADAL_HUMAN
T96060000450,ADAM2_HUMAN
T96060000451,ADAM5_HUMAN
T96060000452,ADAM7_HUMAN
T96060000453,ADAM8_HUMAN
T96060000454,ADAM9_HUMAN
T96060000455,ADAP1_HUMAN
T96060000456,ADAP2_HUMAN
T96060000457,ADAS1_HUMAN
T96060000458,ADAS_HUMAN
T96060000459,ADAT1_HUMAN
T96060000460,ADAT2_HUMAN
T96060000461,ADAT3_HUMAN
T96060000462,ADA_HUMAN
T96060000463,ADCK1_HUMAN
T96060000464,ADCK2_HUMAN
T96060000465,ADCK5_HUMAN
T96060000466,ADCL2_HUMAN
T96060000467,ADCL3_HUMAN
T96060000468,ADCL4_HUMAN
T96060000469,ADCY1_HUMAN
T96060000470,ADCY2_HUMAN
T96060000471,ADCY3_HUMAN
T96060000472,ADCY4_HUMAN
T96060000473,ADCY5_HUMAN
T96060000474,ADCY6_HUMAN
T96060000475,ADCY7_HUMAN
T96060000476,ADCY8_HUMAN
T96060000477,ADCY9_HUMAN
T96060000478,ADCYA_HUMAN
T96060000479,ADDA_HUMAN
T96060000480,ADDB_HUMAN
T96060000481,ADDG_HUMAN
T96060000482,ADEC1_HUMAN
T96060000483,ADGB_HUMAN
T96060000484,ADH1A_HUMAN
T96060000485,ADH1B_HUMAN
T96060000486,ADH1G_HUMAN
T96060000487,ADH4_HUMAN
T96060000488,ADH6_HUMAN
T96060000489,ADH7_HUMAN
T96060000490,ADHX_HUMAN
T96060000491,ADIG_HUMAN
T96060000492,ADIPL_HUMAN
T96060000493,ADIPO_HUMAN
T96060000494,ADIP_HUMAN
T96060000495,ADIRF_HUMAN
T96060000496,ADK_HUMAN
T96060000497,ADM2_HUMAN
T96060000498,ADM5_HUMAN
T96060000499,ADML_HUMAN
T96060000500,ADNP2_HUMAN
T96060000501,ADNP_HUMAN
T96060000502,ADPGK_HUMAN
T96060000503,ADPPT_HUMAN
T96060000504,ADPRH_HUMAN
T96060000505,ADPRM_HUMAN
T96060000506,ADRB1_HUMAN
T96060000507,ADRB2_HUMAN
T96060000508,ADRB3_HUMAN
T96060000509,ADRM1_HUMAN
T96060000510,ADRO_HUMAN
T96060000511,ADSV_HUMAN
T96060000512,ADT1_HUMAN
T96060000513,ADT2_HUMAN
T96060000514,ADT3_HUMAN
T96060000515,ADT4_HUMAN
T96060000516,ADTRP_HUMAN
T96060000517,ADX_HUMAN
T96060000518,AEBP1_HUMAN
T96060000519,AEBP2_HUMAN
T96060000520,AEDO_HUMAN
T96060000521,AEGP_HUMAN
T96060000522,AEN_HUMAN
T96060000523,AF10_HUMAN
T96060000524,AF17_HUMAN
T96060000525,AF1L1_HUMAN
T96060000526,AF1L2_HUMAN
T96060000527,AF1Q_HUMAN
T96060000528,AF9_HUMAN
T96060000529,AFAD_HUMAN
T96060000530,AFAM_HUMAN
T96060000531,AFAP1_HUMAN
T96060000532,AFDDT_HUMAN
T96060000533,AFF1_HUMAN
T96060000534,AFF2_HUMAN
T96060000535,AFF3_HUMAN
T96060000536,AFF4_HUMAN
T96060000537,AFG1L_HUMAN
T96060000538,AFG2H_HUMAN
T96060000539,AFG32_HUMAN
T96060000540,AFTIN_HUMAN
T96060000541,AG10A_HUMAN
T96060000542,AG10B_HUMAN
T96060000543,AG1L2_HUMAN
T96060000544,AGA11_HUMAN
T96060000545,AGAL_HUMAN
T96060000546,AGAP1_HUMAN
T96060000547,AGAP2_HUMAN
T96060000548,AGAP3_HUMAN
T96060000549,AGAP4_HUMAN
T96060000550,AGAP5_HUMAN
T96060000551,AGAP6_HUMAN
T96060000552,AGAP7_HUMAN
T96060000553,AGAP9_HUMAN
T96060000554,AGFG1_HUMAN
T96060000555,AGFG2_HUMAN
T96060000556,AGGF1_HUMAN
T96060000557,AGIT1_HUMAN
T96060000558,AGK_HUMAN
T96060000559,AGM1_HUMAN
T96060000560,AGO1_HUMAN
T96060000561,AGO2_HUMAN
T96060000562,AGO3_HUMAN
T96060000563,AGO4_HUMAN
T96060000564,AGR2_HUMAN
T96060000565,AGR3_HUMAN
T96060000566,AGRA1_HUMAN
T96060000567,AGRA2_HUMAN
T96060000568,AGRA3_HUMAN
T96060000569,AGRB1_HUMAN
T96060000570,AGRB2_HUMAN
T96060000571,AGRB3_HUMAN
T96060000572,AGRD1_HUMAN
T96060000573,AGRD2_HUMAN
T96060000574,AGRE1_HUMAN
T96060000575,AGRE2_HUMAN
T96060000576,AGRE3_HUMAN
T96060000577,AGRE4_HUMAN
T96060000578,AGRF1_HUMAN
T96060000579,AGRF2_HUMAN
T96060000580,AGRF3_HUMAN
T96060000581,AGRF4_HUMAN
T96060000582,AGRF5_HUMAN
T96060000583,AGRG1_HUMAN
T96060000584,AGRG2_HUMAN
T96060000585,AGRG3_HUMAN
T96060000586,AGRG4_HUMAN
T96060000587,AGRG5_HUMAN
T96060000588,AGRG6_HUMAN
T96060000589,AGRG7_HUMAN
T96060000590,AGRIN_HUMAN
T96060000591,AGRL1_HUMAN
T96060000592,AGRL2_HUMAN
T96060000593,AGRL3_HUMAN
T96060000594,AGRL4_HUMAN
T96060000595,AGRP_HUMAN
T96060000596,AGRV1_HUMAN
T96060000597,AGT2_HUMAN
T96060000598,AGTR1_HUMAN
T96060000599,AGTR2_HUMAN
T96060000600,AHDC1_HUMAN
T96060000601,AHI1_HUMAN
T96060000602,AHNK2_HUMAN
T96060000603,AHNK_HUMAN
T96060000604,AHRR_HUMAN
T96060000605,AHR_HUMAN
T96060000606,AHSA1_HUMAN
T96060000607,AHSA2_HUMAN
T96060000608,AHSP_HUMAN
T96060000609,AICDA_HUMAN
T96060000610,AIDA_HUMAN
T96060000611,AIF1L_HUMAN
T96060000612,AIF1_HUMAN
T96060000613,AIFM1_HUMAN
T96060000614,AIFM2_HUMAN
T96060000615,AIFM3_HUMAN
T96060000616,AIG1_HUMAN
T96060000617,AIM2_HUMAN
T96060000618,AIMP1_HUMAN
T96060000619,AIMP2_HUMAN
T96060000620,AINX_HUMAN
T96060000621,AIPL1_HUMAN
T96060000622,AIP_HUMAN
T96060000623,AIRE_HUMAN
T96060000624,AJAP1_HUMAN
T96060000625,AJM1_HUMAN
T96060000626,AJUBA_HUMAN
T96060000627,AK17A_HUMAN
T96060000628,AK1A1_HUMAN
T96060000629,AK1BA_HUMAN
T96060000630,AK1BF_HUMAN
T96060000631,AK1C1_HUMAN
T96060000632,AK1C2_HUMAN
T96060000633,AK1C3_HUMAN
T96060000634,AK1C4_HUMAN
T96060000635,AK1D1_HUMAN
T96060000636,AK40L_HUMAN
T96060000637,AKA10_HUMAN
T96060000638,AKA11_HUMAN
T96060000639,AKA12_HUMAN
T96060000640,AKA28_HUMAN
T96060000641,AKA7A_HUMAN
T96060000642,AKA7G_HUMAN
T96060000643,AKAI1_HUMAN
T96060000644,AKAP1_HUMAN
T96060000645,AKAP2_HUMAN
T96060000646,AKAP3_HUMAN
T96060000647,AKAP4_HUMAN
T96060000648,AKAP5_HUMAN
T96060000649,AKAP6_HUMAN
T96060000650,AKAP8_HUMAN
T96060000651,AKAP9_HUMAN
T96060000652,AKCL1_HUMAN
T96060000653,AKCL2_HUMAN
T96060000654,AKD1A_HUMAN
T96060000655,AKD1B_HUMAN
T96060000656,AKIB1_HUMAN
T96060000657,AKIP1_HUMAN
T96060000658,AKIP_HUMAN
T96060000659,AKIR1_HUMAN
T96060000660,AKIR2_HUMAN
T96060000661,AKNA_HUMAN
T96060000662,AKND1_HUMAN
T96060000663,AKP13_HUMAN
T96060000664,AKP8L_HUMAN
T96060000665,AKT1_HUMAN
T96060000666,AKT2_HUMAN
T96060000667,AKT3_HUMAN
T96060000668,AKTIP_HUMAN
T96060000669,AKTS1_HUMAN
T96060000670,AL14E_HUMAN
T96060000671,AL1A1_HUMAN
T96060000672,AL1A2_HUMAN
T96060000673,AL1A3_HUMAN
T96060000674,AL1B1_HUMAN
T96060000675,AL1L1_HUMAN
T96060000676,AL1L2_HUMAN
T96060000677,AL2CL_HUMAN
T96060000678,AL3A1_HUMAN
T96060000679,AL3A2_HUMAN
T96060000680,AL3B1_HUMAN
T96060000681,AL3B2_HUMAN
T96060000682,AL4A1_HUMAN
T96060000683,AL5AP_HUMAN
T96060000684,AL7A1_HUMAN
T96060000685,AL8A1_HUMAN
T96060000686,AL9A1_HUMAN
T96060000687,ALAT1_HUMAN
T96060000688,ALAT2_HUMAN
T96060000689,ALBU_HUMAN
T96060000690,ALDH2_HUMAN
T96060000691,ALDOA_HUMAN
T96060000692,ALDOB_HUMAN
T96060000693,ALDOC_HUMAN
T96060000694,ALDR_HUMAN
T96060000695,ALEX_HUMAN
T96060000696,ALG11_HUMAN
T96060000697,ALG12_HUMAN
T96060000698,ALG13_HUMAN
T96060000699,ALG14_HUMAN
T96060000700,ALG1L_HUMAN
T96060000701,ALG1_HUMAN
T96060000702,ALG2_HUMAN
T96060000703,ALG3_HUMAN
T96060000704,ALG5_HUMAN
T96060000705,ALG6_HUMAN
T96060000706,ALG8_HUMAN
T96060000707,ALG9_HUMAN
T96060000708,ALKB1_HUMAN
T96060000709,ALKB2_HUMAN
T96060000710,ALKB3_HUMAN
T96060000711,ALKB4_HUMAN
T96060000712,ALKB5_HUMAN
T96060000713,ALKB6_HUMAN
T96060000714,ALKB7_HUMAN
T96060000715,ALKB8_HUMAN
T96060000716,ALKL1_HUMAN
T96060000717,ALKL2_HUMAN
T96060000718,ALKMO_HUMAN
T96060000719,ALK_HUMAN
T96060000720,ALLC_HUMAN
T96060000721,ALMS1_HUMAN
T96060000722,ALPK1_HUMAN
T96060000723,ALPK2_HUMAN
T96060000724,ALPK3_HUMAN
T96060000725,ALR_HUMAN
T96060000726,ALS2_HUMAN
T96060000727,ALS_HUMAN
T96060000728,ALX1_HUMAN
T96060000729,ALX3_HUMAN
T96060000730,ALX4_HUMAN
T96060000731,AMACR_HUMAN
T96060000732,AMBN_HUMAN
T96060000733,AMBP_HUMAN
T96060000734,AMD_HUMAN
T96060000735,AMELX_HUMAN
T96060000736,AMELY_HUMAN
T96060000737,AMER1_HUMAN
T96060000738,AMER2_HUMAN
T96060000739,AMER3_HUMAN
T96060000740,AMERL_HUMAN
T96060000741,AMFR_HUMAN
T96060000742,AMGO1_HUMAN
T96060000743,AMGO2_HUMAN
T96060000744,AMGO3_HUMAN
T96060000745,AMHR2_HUMAN
T96060000746,AMMR1_HUMAN
T96060000747,AMN1_HUMAN
T96060000748,AMNLS_HUMAN
T96060000749,AMOL1_HUMAN
T96060000750,AMOL2_HUMAN
T96060000751,AMOT_HUMAN
T96060000752,AMPB_HUMAN
T96060000753,AMPD1_HUMAN
T96060000754,AMPD2_HUMAN
T96060000755,AMPD3_HUMAN
T96060000756,AMPE_HUMAN
T96060000757,AMPH_HUMAN
T96060000758,AMPL_HUMAN
T96060000759,AMPN_HUMAN
T96060000760,AMPO_HUMAN
T96060000761,AMPQ_HUMAN
T96060000762,AMRA1_HUMAN
T96060000763,AMRP_HUMAN
T96060000764,AMTN_HUMAN
T96060000765,AMY1_HUMAN
T96060000766,AMY2B_HUMAN
T96060000767,AMYP_HUMAN
T96060000768,AMZ1_HUMAN
T96060000769,AMZ2_HUMAN
T96060000770,AN13A_HUMAN
T96060000771,AN13B_HUMAN
T96060000772,AN13C_HUMAN
T96060000773,AN13D_HUMAN
T96060000774,AN18A_HUMAN
T96060000775,AN18B_HUMAN
T96060000776,AN20B_HUMAN
T96060000777,AN30A_HUMAN
T96060000778,AN30B_HUMAN
T96060000779,AN32A_HUMAN
T96060000780,AN32B_HUMAN
T96060000781,AN32C_HUMAN
T96060000782,AN32D_HUMAN
T96060000783,AN32E_HUMAN
T96060000784,AN33B_HUMAN
T96060000785,AN34A_HUMAN
T96060000786,AN34B_HUMAN
T96060000787,AN34C_HUMAN
T96060000788,AN36A_HUMAN
T96060000789,AN36B_HUMAN
T96060000790,AN36C_HUMAN
T96060000791,ANAG_HUMAN
T96060000792,ANC2_HUMAN
T96060000793,ANCHR_HUMAN
T96060000794,ANDR_HUMAN
T96060000795,ANFB_HUMAN
T96060000796,ANFC_HUMAN
T96060000797,ANFY1_HUMAN
T96060000798,ANF_HUMAN
T96060000799,ANGE1_HUMAN
T96060000800,ANGE2_HUMAN
T96060000801,ANGI_HUMAN
T96060000802,ANGL1_HUMAN
T96060000803,ANGL2_HUMAN
T96060000804,ANGL3_HUMAN
